CO_MUNICIPIO,NO_MUNICIPIO,SG_UF,REGIAO,CLUSTER,PC_ALUNO_ALFABETIZADO,DISTANCIA_META_2030,PC_FAMILIAS_POBREZA,RENDA_PER_CAPITA_MEDIA,MEDIA_INSE,PC_ESCOLAS_BIBLIOTECA,PC_ESCOLAS_LAB_INFORMATICA,PC_ESCOLAS_INTERNET_ALUNOS
4113809,Lupionópolis,PR,Sul,1,79.91,-0.09,24.040511727078894,1332.01,5.28,0.6666666666666666,0.3333333333333333,0.5
4113908,Mallet,PR,Sul,1,91.8,11.8,27.973748974569318,1481.24,5.234285714285714,0.21428571428571427,0.2857142857142857,0.42857142857142855
4114005,Mamborê,PR,Sul,1,91.69,11.69,23.325390521577972,1688.63,5.101428571428571,0.3076923076923077,0.3076923076923077,0.38461538461538464
4114104,Mandaguaçu,PR,Sul,1,71.6,-8.4,18.913926856298485,1651.0,5.17,0.3684210526315789,0.2631578947368421,0.47368421052631576
4114203,Mandaguari,PR,Sul,1,93.0,13.0,9.066281379808562,1604.93,5.301111111111111,0.5833333333333334,0.5,0.4583333333333333
4114302,Mandirituba,PR,Sul,1,81.25,1.25,26.317158839599326,1269.58,5.29,0.47368421052631576,0.2631578947368421,0.3157894736842105
4114351,Manfrinópolis,PR,Sul,1,92.31,12.31,11.594202898550725,1680.04,5.047499999999999,0.8,0.8,0.8
4114401,Mangueirinha,PR,Sul,1,80.14,0.14,18.46537741734248,1500.51,5.161666666666666,0.5454545454545454,0.3181818181818182,0.4090909090909091
4114500,Manoel Ribas,PR,Sul,1,89.25,9.25,27.363184079601986,1828.41,5.315714285714286,0.5882352941176471,0.4117647058823529,0.4117647058823529
4114609,Marechal Cândido Rondon,PR,Sul,1,82.9,2.9,12.86705031724952,2069.05,5.359166666666667,0.5686274509803921,0.35294117647058826,0.45098039215686275
4114708,Maria Helena,PR,Sul,1,87.95,7.95,28.22245322245322,1434.22,5.18,0.6666666666666666,0.6666666666666666,0.8333333333333334
4114807,Marialva,PR,Sul,1,85.42,5.42,15.916837082481255,1696.15,5.457857142857143,0.5652173913043478,0.34782608695652173,0.43478260869565216
4114906,Marilândia Do Sul,PR,Sul,1,84.67,4.67,25.580551523947747,1533.15,5.204,0.2,0.6,0.5
4115002,Marilena,PR,Sul,1,86.33,6.33,20.728155339805827,1287.26,5.13,0.3333333333333333,0.16666666666666666,0.3333333333333333
4115101,Mariluz,PR,Sul,1,70.41,-9.59,22.249793217535153,1300.28,5.1025,0.5714285714285714,0.2857142857142857,0.5714285714285714
4115200,Maringá,PR,Sul,1,84.71,4.71,19.718815341884344,2646.96,5.555731707317073,0.692,0.416,0.532
4115309,Mariópolis,PR,Sul,1,78.14,-1.86,15.75037147102526,2076.62,5.419999999999999,0.6666666666666666,0.6666666666666666,0.8333333333333334
4115358,Maripá,PR,Sul,1,83.65,3.65,4.384724186704385,1580.45,5.6325,0.2857142857142857,0.5714285714285714,0.7142857142857143
4115408,Marmeleiro,PR,Sul,1,91.34,11.34,24.60757156048015,2013.84,5.3187500000000005,0.46153846153846156,0.3076923076923077,0.6153846153846154
4115457,Marquinho,PR,Sul,1,93.94,13.94,31.381011097410607,1563.73,5.056666666666667,0.16666666666666666,0.8333333333333334,0.5
4115507,Marumbi,PR,Sul,1,79.97,-0.03,26.746806912096165,1424.62,5.32,0.8,0.4,0.6
4115606,Matelândia,PR,Sul,1,81.4,1.4,7.304900181488204,1633.1,5.090999999999999,0.21052631578947367,0.3157894736842105,0.631578947368421
