CO_MUNICIPIO,SG_UF,REGIAO,PC_ALUNO_ALFABETIZADO_2025,PROBABILIDADE_RISCO_NAO_ATINGIR_META,ALERTA_F1_OTIMO,ALERTA_RECALL_80
4316105,RS,Sul,71.35,0.8093350919755894,True,True
4321204,RS,Sul,65.19,0.8093024255504656,True,True
4315800,RS,Sul,51.47,0.8091774416996534,True,True
4311403,RS,Sul,58.46,0.8091605016764088,True,True
4313409,RS,Sul,46.83,0.8089967047265193,True,True
4314498,RS,Sul,51.28,0.8086631021865867,True,True
4318507,RS,Sul,35.45,0.8084406129186509,True,True
4314464,RS,Sul,73.94,0.8079038943165556,True,True
4310405,RS,Sul,64.8,0.8076549562938604,True,True
4321808,RS,Sul,64.07,0.8068566778949557,True,True
4316006,RS,Sul,74.24,0.8066461614657672,True,True
4322004,RS,Sul,48.6,0.8060413782918405,True,True
4308805,RS,Sul,42.86,0.8049049776966858,True,True
4319208,RS,Sul,23.53,0.8047867806142844,True,True
4307500,RS,Sul,50.11,0.804273778282879,True,True
4323804,RS,Sul,42.41,0.8032587734974268,True,True
4320677,RS,Sul,72.25,0.8026593567112018,True,True
4303608,RS,Sul,40.0,0.8025021709069257,True,True
4316758,RS,Sul,79.81,0.8023070148131624,True,True
4312609,RS,Sul,52.63,0.800750151976721,True,True
4306130,RS,Sul,66.67,0.8005827672579819,True,True
4313441,RS,Sul,52.63,0.799457795523261,True,True
4317756,RS,Sul,64.29,0.7987427497102053,True,True
4310413,RS,Sul,45.0,0.7968434541168673,True,True
4321402,RS,Sul,69.9,0.7965700632090125,True,True
4308854,RS,Sul,75.0,0.7954224272233746,True,True
4314175,RS,Sul,62.5,0.7953012093903825,True,True
4322301,RS,Sul,59.08,0.7951601919133716,True,True
4309704,RS,Sul,77.06,0.7929925260170168,True,True
4311239,RS,Sul,69.76,0.792518104003434,True,True
4321857,RS,Sul,73.72,0.791731613575042,True,True
4305009,RS,Sul,55.89,0.7916277844465692,True,True
4303202,RS,Sul,50.0,0.7914869032300402,True,True
4313102,RS,Sul,66.17,0.7902449253563616,True,True
4309050,RS,Sul,55.85,0.7886063329904618,True,True
4305371,RS,Sul,11.76,0.7870332608600734,True,True
4316709,RS,Sul,61.89,0.7855639999027915,True,True
4310553,RS,Sul,20.59,0.7848411285884882,True,True
4314027,RS,Sul,81.34,0.7836187058295173,True,True
4303400,RS,Sul,40.0,0.7831209644701005,True,True
4316600,RS,Sul,50.14,0.7827848975236731,True,True
4314779,RS,Sul,58.62,0.7826659116922371,True,True
4318465,RS,Sul,61.54,0.7823993418212952,True,True
4312203,RS,Sul,52.31,0.7819673376199201,True,True
4310538,RS,Sul,63.54,0.7796022027756155,True,True
4322525,RS,Sul,76.25,0.7774942888011798,True,True
4306502,RS,Sul,63.07,0.7771663375365611,True,True
4303301,RS,Sul,62.61,0.7770169818831741,True,True
4320230,RS,Sul,70.18,0.7765891958757175,True,True
4304952,RS,Sul,41.3,0.776314482105997,True,True
4305447,RS,Sul,68.93,0.7758609786906338,True,True
4303558,RS,Sul,76.94,0.7751194188824889,True,True
4322251,RS,Sul,60.98,0.7742261506769222,True,True
4308102,RS,Sul,70.13,0.7738605903990475,True,True
2922508,BA,Nordeste,39.7,0.772423432212088,True,True
4322376,RS,Sul,62.5,0.7721039510320311,True,True
4314001,RS,Sul,82.69,0.7719580021259389,True,True
4315552,RS,Sul,50.93,0.7709892725422645,True,True
4306379,RS,Sul,46.46,0.7697320013947443,True,True
4303905,RS,Sul,63.2,0.7691751391744839,True,True
4308052,RS,Sul,59.13,0.7685659072206579,True,True
4307401,RS,Sul,35.56,0.7684724651294106,True,True
4304853,RS,Sul,50.0,0.7671254150645579,True,True
4308201,RS,Sul,68.48,0.7670789486275877,True,True
4311155,RS,Sul,77.78,0.7667819508454486,True,True
4309902,RS,Sul,78.53,0.7664490676125143,True,True
4309126,RS,Sul,31.25,0.7651834426136824,True,True
4314068,RS,Sul,74.85,0.7647665270553089,True,True
4300406,RS,Sul,44.5,0.7636430452555092,True,True
4321469,RS,Sul,59.92,0.76333638833823,True,True
4309506,RS,Sul,66.86,0.7621883500775416,True,True
4309753,RS,Sul,73.32,0.7618281780597561,True,True
4301073,RS,Sul,57.84,0.7613068086171754,True,True
4304713,RS,Sul,83.66,0.760577863473542,True,True
4321956,RS,Sul,53.82,0.7605119257830883,True,True
4313607,RS,Sul,69.13,0.7596346410041274,True,True
4300455,RS,Sul,40.0,0.7590337816532411,True,True
4313466,RS,Sul,76.19,0.7584228444017118,True,True
4315149,RS,Sul,83.54,0.7583986933035426,True,True
4313201,RS,Sul,81.75,0.7571471982592692,True,True
4318424,RS,Sul,75.88,0.7569721761910281,True,True
4310363,RS,Sul,73.33,0.7567859482426624,True,True
4300802,RS,Sul,59.53,0.756528494428152,True,True
4323309,RS,Sul,67.45,0.7558526046474625,True,True
4301800,RS,Sul,56.84,0.7545262106895737,True,True
4302584,RS,Sul,55.56,0.7544471084151763,True,True
4312153,RS,Sul,78.79,0.7536453888582754,True,True
4303673,RS,Sul,76.15,0.7532849675377762,True,True
4302253,RS,Sul,68.18,0.7532466718410079,True,True
4310579,RS,Sul,83.33,0.7514465379067354,True,True
4314423,RS,Sul,72.39,0.7512796221380094,True,True
2904902,BA,Nordeste,49.31,0.7504788380176333,True,True
4308433,RS,Sul,60.84,0.7501477190249607,True,True
4304697,RS,Sul,82.52,0.7501334178993863,True,True
4306957,RS,Sul,71.79,0.7495511717453676,True,True
4304101,RS,Sul,36.66,0.7494500054188422,True,True
4316956,RS,Sul,73.5,0.7480187855502818,True,True
4316501,RS,Sul,75.83,0.7476172495109518,True,True
4311601,RS,Sul,61.82,0.7475929604733413,True,True
3302858,RJ,Sudeste,40.82,0.7472888284655361,True,True
4312443,RS,Sul,56.0,0.7467719619313714,True,True
4322327,RS,Sul,52.45,0.7453190824464071,True,True
4317806,RS,Sul,81.34,0.7450733109535809,True,True
4302501,RS,Sul,16.67,0.7440982418169738,True,True
4319703,RS,Sul,77.9,0.7435603600957309,True,True
4318481,RS,Sul,87.76,0.7401078495980349,True,True
4305306,RS,Sul,58.0,0.7398274885006185,True,True
4308656,RS,Sul,50.0,0.7396658043702334,True,True
4315131,RS,Sul,68.18,0.7390737240824841,True,True
4302220,RS,Sul,66.39,0.7388697488922406,True,True
4300208,RS,Sul,74.29,0.738814644804654,True,True
4306734,RS,Sul,63.58,0.738602148399372,True,True
4301701,RS,Sul,83.51,0.738271609266069,True,True
4305850,RS,Sul,88.24,0.7381146974473974,True,True
4309555,RS,Sul,76.47,0.7371851166741801,True,True
4319000,RS,Sul,61.78,0.7370919983636193,True,True
4302006,RS,Sul,15.38,0.736453728594113,True,True
4323754,RS,Sul,57.14,0.7362091215360264,True,True
4305801,RS,Sul,80.03,0.7349726939056503,True,True
